,Unnamed: 0,label,msisdn,aon,daily_decr30,daily_decr90,rental30,rental90,last_rech_date_ma,last_rech_date_da,last_rech_amt_ma,cnt_ma_rech30,fr_ma_rech30,sumamnt_ma_rech30,medianamnt_ma_rech30,medianmarechprebal30,cnt_ma_rech90,fr_ma_rech90,sumamnt_ma_rech90,medianamnt_ma_rech90,medianmarechprebal90,cnt_da_rech30,fr_da_rech30,cnt_da_rech90,fr_da_rech90,cnt_loans30,amnt_loans30,maxamnt_loans30,medianamnt_loans30,cnt_loans90,amnt_loans90,maxamnt_loans90,medianamnt_loans90,payback30,payback90,pcircle,pdate
133273,133274,1,22736I82734,872.0,26843.0,38076.0,2198.85,3542.29,10.0,0.0,5787,7,1.0,18101.0,2309.0,232.97,9,1,29675,2309.0,46.9700000000003,0.0,0.0,0,0,5,48,12.0,0.0,6.0,54,12,0.0,2.1666666666666696,2.1666666666666696,UPW,2016-08-10
135781,135782,1,78413I88649,184.0,443.0,443.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-08-19
89929,89930,1,41679I88688,474.0,9792.0,13646.5,1199.79,6511.14,8.0,0.0,1539,4,7.0,6926.0,1539.0,340.6,12,1,20885,1539.0,90.59999999999991,0.0,0.0,0,0,1,6,6.0,0.0,3.0,18,6,0.0,0.0,22.3333333333333,UPW,2016-08-14
37202,37203,1,01313I97196,100.0,18.712,18.712,1700.16,1700.16,6.0,0.0,770,3,8.0,2313.0,770.0,3.5,4,44,3860,771.5,3.5,0.0,0.0,0,0,3,18,6.0,0.0,3.0,18,6,0.0,7.0,7.0,UPW,2016-06-24
139912,139913,1,05584I89237,128.0,2828.765,2878.44999999999,3413.74,9310.2,37.0,0.0,5787,0,0.0,0.0,0.0,0.0,2,4,9835,4917.5,278.0,0.0,0.0,0,0,1,6,6.0,0.0,2.0,12,6,0.0,0.0,0.0,UPW,2016-07-19
191328,191329,1,47500I90581,1533.0,348.20133333333297,348.20133333333297,3203.42,3203.42,2.0,0.0,4048,7,1.0,45422.0,5787.0,34.9300000000003,7,1,45422,5787.0,34.9300000000003,0.0,0.0,0,0,5,30,6.0,0.0,5.0,30,6,0.0,19.0,19.0,UPW,2016-06-22
18099,18100,1,97562I70377,600751.521880738,1400.0,1400.0,673.25,1974.33,2.0,0.0,1539,1,0.0,1539.0,1539.0,82.0,1,0,1539,1539.0,82.0,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-07-22
104566,104567,1,42549I88690,135.0,15.801666666666698,15.801666666666698,371.8,371.8,1.0,0.0,773,3,6.0,2319.0,773.0,61.0,3,6,2319,773.0,61.0,0.0,0.0,0,0,2,12,6.0,0.0,2.0,12,6,0.0,0.0,0.0,UPW,2016-06-05
178677,178678,1,34159I82737,233.0,13700.049333333302,13797.87,1864.42,2256.5,4.0,92.0,770,9,0.0,10783.0,773.0,43.0,14,0,18478,1539.0,40.5,0.0,0.0,0,0,5,30,6.0,0.0,7.0,42,6,0.0,6.2,5.5,UPW,2016-07-26
59766,59767,0,53134I82736,948.0,17.4,17.4,283.4,283.4,7.0,0.0,1539,2,15.0,3086.0,1543.0,12.47,2,15,3086,1543.0,12.47,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-06-20
